model,HAR_daily,HAR_daily_p,HAR_weekly,HAR_weekly_p,HAR_monthly,HAR_monthly_p,x_int,x_int_p,x_int_full,x_int_full_p,m_sent,m_sent_p,P_pos,P_pos_p,P_neg,P_neg_p,a_sent,a_sent_p,d_sent,d_sent_p,G,G_p,c_s,c_s_p
M0,0.5506815019132023,2.1471713296250527e-13,0.1697519225520796,0.00879926809842857,0.10352375370755343,0.0553300013483935,,,,,,,,,,,,,,,,,,
M1,0.5397381198473465,2.998712389512548e-12,0.17096698633685573,0.00859091586204852,0.1085257372266915,0.047227555769840945,,,0.023369248795651474,0.10515908012261899,,,,,,,,,,,,,,
M2,0.5168775563357991,6.551648112917974e-12,0.17156586097238238,0.00730399246470359,0.12238828707880585,0.024442634706896893,0.12175286079635075,6.972200594645983e-14,,,,,,,,,,,,,,,,
M3,0.5501132022523603,1.156852391659413e-13,0.16966340574262534,0.008790955806246004,0.10116376232539803,0.054837389033339345,,,,,-0.02057445586446265,0.6177344524191517,,,,,,,,,,,,
M4,0.5484659852460027,7.935874180020619e-13,0.16951513052729428,0.00901138578608518,0.1096474375940451,0.04249632694125349,,,,,,,0.08966793280737212,0.11887080882079815,,,,,,,,,,
M5,0.5453437835567582,1.0325074129013956e-13,0.16904372059958137,0.0089352722298075,0.09878964297393342,0.05953324966389384,,,,,,,,,0.10200183524716228,0.04615384745358786,,,,,,,,
M6,0.5409023644986738,5.992983886926595e-13,0.16853541800860822,0.009256844741724946,0.10630980501165724,0.04422967206148476,,,,,,,0.12703391553938612,0.009611230543072447,0.12689524838094637,0.0065365121936686865,,,,,,,,
M7,0.5411852727218823,3.7703173916270316e-13,0.16882415328590014,0.008826468822073164,0.10656161214466747,0.04685960836170988,,,,,,,,,,,0.14469019220211884,1.6894400524769537e-05,,,,,,
M8,0.543455032656763,1.8198775819655566e-12,0.17133319767920646,0.008408296027760276,0.10717671991713885,0.04812986199838143,,,,,,,,,,,,,0.10689970451925641,0.005803970315846341,,,,
M9,0.5502293410099149,3.8413716652030416e-13,0.16962619116853347,0.00886696939507603,0.1035588481037433,0.05546795029232454,,,,,,,,,,,,,,,0.039641744306693726,0.6970368300025735,,
M10,0.5386633665666088,1.793898363189328e-12,0.16984248889847176,0.008693130192908294,0.10811433207449138,0.043998141750888564,,,,,,,,,,,0.1229972084715621,0.0034654584466111693,0.05883942495050057,0.1869680134713887,-0.002798814177026299,0.9768802479567282,,
M11,0.5129423127040561,2.7846613903648176e-12,0.17154717453710663,0.006504555203545426,0.11932924992588259,0.02595507568994515,,,,,,,,,,,,,,,,,0.14115106883606535,2.353672812205332e-14
M12,0.5162145827957668,3.860467501226594e-12,0.17146973505019503,0.007314129453848128,0.11979568630711078,0.024254090646854243,0.12187560919493975,6.994405055138486e-14,,,-0.022768155711441106,0.5691834795858932,,,,,,,,,,,,
M13,0.5163958095091216,4.079403481682675e-12,0.17158913552475985,0.007188190920602855,0.11968942602826442,0.0242329914275059,0.12386416581896756,1.9321677591221942e-10,,,,,-0.03457190112590504,0.5443705675831587,0.014327615388616426,0.7553106134955869,,,,,,,,
M14,0.5170883649467845,3.3151259515307174e-12,0.17040070116856337,0.007295091579119672,0.1229118510301493,0.021581822722477106,0.14685537388635503,4.540765541349856e-10,,,,,,,,,0.04138742778519284,0.29813031377473687,-0.11985000535918613,0.02692882531314078,-0.15735078572243966,0.11865341897735693,,
M15,0.5110718162232303,5.31663602032495e-12,0.17171123339803107,0.006619745328892979,0.12182916409282121,0.02325880195437735,0.04439903266121544,0.0914444811527928,,,,,,,,,,,,,,,0.10204148454008548,0.0010542507122859313
