model,HAR_daily,HAR_daily_p,HAR_weekly,HAR_weekly_p,HAR_monthly,HAR_monthly_p,x_int,x_int_p,x_int_full,x_int_full_p,m_sent,m_sent_p,P_pos,P_pos_p,P_neg,P_neg_p,a_sent,a_sent_p,d_sent,d_sent_p,G,G_p,c_s,c_s_p
M0,0.5506815019132023,0.0,0.1697519225520796,6.610129332784709e-09,0.10352375370755343,0.00011467637686024545,,,,,,,,,,,,,,,,,,
M1,0.5397381198473465,0.0,0.17096698633685573,5.320098361849546e-09,0.1085257372266915,5.908591313819045e-05,,,0.023369248795651474,0.05420466184270478,,,,,,,,,,,,,,
M2,0.5168775563357991,0.0,0.17156586097238238,2.9725728545315633e-09,0.12238828707880585,6.3356263158009796e-06,0.12175286079635075,0.0,,,,,,,,,,,,,,,,
M3,0.5501132022523603,0.0,0.16966340574262534,6.52230847109081e-09,0.10116376232539803,0.00014058673336281302,,,,,-0.02057445586446265,0.3838023293410129,,,,,,,,,,,,
M4,0.5484659852460027,0.0,0.16951513052729428,6.90036983108655e-09,0.1096474375940451,5.088664748709171e-05,,,,,,,0.08966793280737212,0.022941962569601237,,,,,,,,,,
M5,0.5453437835567582,0.0,0.16904372059958137,6.405176167234572e-09,0.09878964297393342,0.00017105572470166308,,,,,,,,,0.10200183524716228,0.0014840474057526976,,,,,,,,
M6,0.5409023644986738,0.0,0.16853541800860822,6.601049040710905e-09,0.10630980501165724,6.275955568613156e-05,,,,,,,0.12703391553938612,0.0010648847477838785,0.12689524838094637,7.291692493360813e-05,,,,,,,,
M7,0.5411852727218823,0.0,0.16882415328590014,5.803861391484588e-09,0.10656161214466747,5.7908418297225595e-05,,,,,,,,,,,0.14469019220211884,4.2960921753376624e-07,,,,,,
M8,0.543455032656763,0.0,0.17133319767920646,4.691679933443993e-09,0.10717671991713885,6.073875291701114e-05,,,,,,,,,,,,,0.10689970451925641,0.0014217868211907625,,,,
M9,0.5502293410099149,0.0,0.16962619116853347,6.786513795375981e-09,0.1035588481037433,0.00011615496525374525,,,,,,,,,,,,,,,0.039641744306693726,0.5926077315133618,,
M10,0.5386633665666088,0.0,0.16984248889847176,5.058618857134434e-09,0.10811433207449138,4.357680838307232e-05,,,,,,,,,,,0.1229972084715621,0.00013832021302273567,0.05883942495050057,0.11144880846893312,-0.002798814177026299,0.9692789821813033,,
M11,0.5129423127040561,0.0,0.17154717453710663,1.5578154322071214e-09,0.11932924992588259,6.073429159370036e-06,,,,,,,,,,,,,,,,,0.14115106883606535,0.0
M12,0.5162145827957668,0.0,0.17146973505019503,2.9458513406410702e-09,0.11979568630711078,7.904741904596335e-06,0.12187560919493975,0.0,,,-0.022768155711441106,0.3264869301809714,,,,,,,,,,,,
M13,0.5163958095091216,0.0,0.17158913552475985,2.84128454097754e-09,0.11968942602826442,8.056175618165184e-06,0.12386416581896756,1.1102230246251565e-15,,,,,-0.03457190112590504,0.393965111602387,0.014327615388616426,0.6709699989992537,,,,,,,,
M14,0.5170883649467845,0.0,0.17040070116856337,3.673437110052191e-09,0.1229118510301493,4.602926454433387e-06,0.14685537388635503,2.220446049250313e-16,,,,,,,,,0.04138742778519284,0.20198238530284307,-0.11985000535918613,0.003972957513808106,-0.15735078572243966,0.029567854960180995,,
M15,0.5110718162232303,0.0,0.17171123339803107,1.7646688554862067e-09,0.12182916409282121,4.5400584631760665e-06,0.04439903266121544,0.018900520458403847,,,,,,,,,,,,,,,0.10204148454008548,4.062033306606594e-06
