model,HAR_daily,HAR_daily_p,HAR_weekly,HAR_weekly_p,HAR_monthly,HAR_monthly_p,x_int,x_int_p,x_int_full,x_int_full_p,m_sent,m_sent_p,P_pos,P_pos_p,P_neg,P_neg_p,a_sent,a_sent_p,d_sent,d_sent_p,G,G_p,c_s,c_s_p
M0,0.4439368800800529,0.0,0.21935961597529377,3.3866243143165775e-12,0.1376694656902291,6.989487578934472e-06,,,,,,,,,,,,,,,,,,
M1,0.4257982086471139,0.0,0.215433879802793,9.190648242451971e-12,0.15151889495441073,1.1602033258562017e-06,,,0.05441346212425406,0.00014310129640948688,,,,,,,,,,,,,,
M2,0.41901344065789226,0.0,0.21066169436725743,9.428235969721754e-12,0.16115149995620515,2.1793288551563705e-07,0.12838752564817849,0.0,,,,,,,,,,,,,,,,
M3,0.4437789878452353,0.0,0.21936079573224188,3.355982158836923e-12,0.13722428401557304,7.280988213675954e-06,,,,,-0.004221302026760792,0.8798519851818254,,,,,,,,,,,,
M4,0.4429805957412029,0.0,0.218246773931465,3.867572928584195e-12,0.14394826378522477,3.4650338005537407e-06,,,,,,,0.10277913247581244,0.024270842786899394,,,,,,,,,,
M5,0.44032725883244367,0.0,0.21854445708831857,3.1090685581602884e-12,0.13424048044197087,9.154499587049614e-06,,,,,,,,,0.07728066417848559,0.04711943378482353,,,,,,,,
M6,0.43788944228911897,0.0,0.21683568706773637,3.4985347951987933e-12,0.14120626124255092,4.085655055829918e-06,,,,,,,0.13272921063931103,0.003313944167283145,0.10303364145620993,0.008285853484572892,,,,,,,,
M7,0.4371785289182853,0.0,0.21751696447110383,2.6503244043851737e-12,0.13956885931278348,4.23657589410098e-06,,,,,,,,,,,0.13838683475427385,6.728326236427051e-05,,,,,,
M8,0.4378870408647291,0.0,0.2186634450539811,2.69428923616033e-12,0.14218311307085102,3.020585164215106e-06,,,,,,,,,,,,,0.12993080078263283,0.0006442794248331385,,,,
M9,0.44412210913139527,0.0,0.21956768443250707,3.0833113839889847e-12,0.13759216817976272,6.880974508849391e-06,,,,,,,,,,,,,,,-0.025813917010978578,0.7747855302913744,,
M10,0.4350261589568869,0.0,0.21808707011029377,2.0512480602974392e-12,0.14209753349769969,2.451718974505468e-06,,,,,,,,,,,0.10590514660509322,0.007656351684524942,0.09238979734132852,0.030949199897461588,-0.07848700680887728,0.3749935919305538,,
M11,0.41507746782582655,0.0,0.21286205862361865,3.906874823655926e-12,0.15506196329283964,3.344587122811049e-07,,,,,,,,,,,,,,,,,0.14360529933236652,0.0
M12,0.41875035173613984,0.0,0.21066082315384096,9.329870209739966e-12,0.16043965196899831,2.3484488909097934e-07,0.1284285238682387,0.0,,,-0.006820988400891608,0.8036284816086634,,,,,,,,,,,,
M13,0.41912439683851804,0.0,0.21092338824493087,9.831468972265611e-12,0.16050343337074627,2.3784701386198037e-07,0.1348910426176367,1.7763568394002505e-15,,,,,-0.04493549325421982,0.3567132469778973,-0.020454127833299716,0.6167511819332931,,,,,,,,
M14,0.4191797579232356,0.0,0.21108332083105552,9.390266342279574e-12,0.16218253376873984,1.4555408589522756e-07,0.15495284503846585,1.0880185641326534e-14,,,,,,,,,0.01884645021508982,0.6344974970718003,-0.09673661775500363,0.05099417172017118,-0.2424204347405048,0.006653134362390345,,
M15,0.4140961681608396,0.0,0.2112285722976789,5.693001625672878e-12,0.1595258114453328,1.9061333511594114e-07,0.05875660103297236,0.008745380181958362,,,,,,,,,,,,,,,0.09173057498763192,0.0004893684447606628
