model,HAR_daily,HAR_daily_p,HAR_weekly,HAR_weekly_p,HAR_monthly,HAR_monthly_p,x_int_full,x_int_full_p,m_sent_f,m_sent_f_p,P_pos_f,P_pos_f_p,P_neg_f,P_neg_f_p,a_sent_f,a_sent_f_p,d_sent_f,d_sent_f_p,G_f,G_f_p,c_s_f,c_s_f_p
M3d,0.5496868171350088,7.105427357601002e-14,0.17027225440496058,0.008281960611127959,0.1015951872230041,0.053920203763682784,,,-0.017499366059863405,0.6352311155416919,,,,,,,,,,,,
M4d,0.5504043530157002,3.355093980417223e-13,0.16860845663874433,0.00896277760892028,0.10622561578098812,0.04809029326609271,,,,,0.04584185085899843,0.44123521968110224,,,,,,,,,,
M5d,0.5463264235606046,5.750955267558311e-14,0.170083684643209,0.008394271860600266,0.09997324578727242,0.057987217607447405,,,,,,,0.0692524942598109,0.1601616716321359,,,,,,,,
M6d,0.5445829013479182,1.4810375148499588e-13,0.1682019778301087,0.008895424555565246,0.10361644561791185,0.050334834310247656,,,,,0.07929869487516295,0.1517157364430668,0.08935366238487114,0.055520579239096035,,,,,,,,
M7d,0.5435924226701354,1.9162449405030202e-13,0.16862132516753547,0.008650356918560087,0.10351982310512621,0.05349505798074827,,,,,,,,,0.11095169433995568,0.002312733575325021,,,,,,
M8d,0.5493038507494719,9.376943665984072e-13,0.16918126537839892,0.008818718905904355,0.1043607692717297,0.05214415720804699,,,,,,,,,,,0.023918277638528544,0.6061062780890998,,,,
M9d,0.551155658664201,2.0627943797535409e-13,0.17068936299157253,0.008379245213810727,0.10279876521076269,0.05585413375795767,,,,,,,,,,,,,-0.09409124645871009,0.4546020540347051,,
M10d,0.5444653629325029,3.268496584496461e-13,0.16989247205053798,0.007732413583172892,0.10226060543325408,0.05228029916043342,,,,,,,,,0.11753379547980712,0.0114366881948893,-0.013543049864996645,0.8027751845703881,-0.10188596022195183,0.41099849615450257,,
M11d,0.5357272443048658,6.683542608243442e-13,0.17151030325881755,0.00803726527375348,0.10859214383442596,0.04774128356440954,,,,,,,,,,,,,,,0.03081951219987081,0.01585958163221357
M12d,0.5384677838690985,1.049160758270773e-12,0.17155610765101004,0.0080681794426547,0.10650115603417264,0.046271724683264015,0.023760020623320218,0.0986820683077465,-0.01912952306656437,0.6020399655253619,,,,,,,,,,,,
M13d,0.5385916129787476,9.310330284506563e-13,0.16927383722487488,0.008788852449338025,0.10626702478620587,0.04670838812997791,0.01426143437081754,0.3606310676156721,,,0.06423474439805908,0.26940251668780624,0.07987631467164368,0.10001729050347818,,,,,,,,
M14d,0.5360567590818849,6.445954880973659e-13,0.171917691713705,0.007100457464819909,0.10597568314815307,0.04769425230606039,0.022154476612529832,0.2216288433148328,,,,,,,0.11061919799137081,0.015836768707280457,-0.038098883999404524,0.533389001227123,-0.12366520537502479,0.3310667265441378,,
M15d,0.5359745198945115,1.3147261057611104e-12,0.17149221476096968,0.008033860574559348,0.10831020813312664,0.04686277091932811,-0.003580933835202226,0.8995660338278382,,,,,,,,,,,,,0.033765819878330466,0.19793351565597295
