model,HAR_daily,HAR_daily_p,HAR_weekly,HAR_weekly_p,HAR_monthly,HAR_monthly_p,x_int_full,x_int_full_p,m_sent_f,m_sent_f_p,P_pos_f,P_pos_f_p,P_neg_f,P_neg_f_p,a_sent_f,a_sent_f_p,d_sent_f,d_sent_f_p,G_f,G_f_p,c_s_f,c_s_f_p
M3d,0.44210332261700824,1.472403583502313e-07,0.21993719543815235,0.001070931881249182,0.1331695281481017,0.011766107659468839,,,-0.04177578510424012,0.3674329930417841,,,,,,,,,,,,
M4d,0.4439030924362683,2.762765913821852e-07,0.21893372667903313,0.0010774678692424544,0.13871714077176955,0.00997496463535974,,,,,0.018483939453051542,0.8035085091379173,,,,,,,,,,
M5d,0.4392082011331117,1.3767427065047855e-07,0.2184064675202168,0.0011784875801312822,0.132390770719983,0.012535805511918019,,,,,,,0.10343057768226104,0.09725256955642081,,,,,,,,
M6d,0.4383750214930656,1.8088987285835856e-07,0.2168170207053211,0.0012214397754695128,0.13514230479355066,0.011298381127276658,,,,,0.06269705950414625,0.36237816108767174,0.11914794833267746,0.04369628224360844,,,,,,,,
M7d,0.4380206905229118,2.2833423929391472e-07,0.21714976651326556,0.001123332370253971,0.13716311925322713,0.010947163744908561,,,,,,,,,0.12767818112602808,0.007141413669791374,,,,,,
M8d,0.441887464220363,4.723201059153581e-07,0.2170640941252591,0.0011444597755680963,0.1398411499612118,0.009516038895334145,,,,,,,,,,,0.05851615030180295,0.2782908546415013,,,,
M9d,0.444067441709146,2.402095502507251e-07,0.2209731186315758,0.0010543319773950177,0.13663218435647173,0.011005553312855243,,,,,,,,,,,,,-0.1079379649973653,0.47644066649262995,,
M10d,0.43773247156154843,2.821077127457272e-07,0.21840599024570312,0.0010086658756176536,0.13668776802758933,0.009918336113189596,,,,,,,,,0.12182201231773104,0.047909584593511356,0.020503917491166843,0.7545148598161808,-0.13106468219882528,0.37958838180338494,,
M11d,0.4246275955750831,5.182067046582972e-07,0.21579992787832306,0.0013263896047033263,0.14810263938588633,0.007311768126563756,,,,,,,,,,,,,,,0.056328102823317926,0.0005733789184629856
M12d,0.4235597903231568,7.3162125779902e-07,0.21600068040385353,0.0014101819817184946,0.1468627988257472,0.006731130511768768,0.055194211130517735,0.00038657458988189397,-0.04507032932735835,0.3279536700619954,,,,,,,,,,,,
M13d,0.423736521563251,7.073397298995587e-07,0.21481785432801556,0.0014920294840616855,0.14632335868260335,0.007031677914432155,0.04885279281184335,0.005320096208675684,,,0.01005637467095013,0.8940112574986947,0.0852380933671041,0.15589848298637898,,,,,,,,
M14d,0.4221418241610733,6.189926329280837e-07,0.21798708456605648,0.0011392686603088897,0.14817888613760938,0.006300598130295487,0.0561868875933627,0.006678037423068606,,,,,,,0.10332815158816398,0.08324455470297631,-0.0427334167909674,0.5638397438172895,-0.18685364556629358,0.23090810979533005,,
M15d,0.42327131986821226,8.336227559357923e-07,0.21526156719890832,0.0013934499689034485,0.15084177553468317,0.006153372710419713,0.026963939749922675,0.39817817947506606,,,,,,,,,,,,,0.03406403781476982,0.3042731618585064
