model,news,R2,AIC,BIC,loglik,LR_vs,LR_stat,LR_df,LR_p
M0,(HAR only),0.5680187434229638,3555.512413426579,3638.6855700991678,-1763.7562067132894,,,0,
M1,x_int_full,0.5685747949715251,3553.89301714693,3643.007113581847,-1761.946508573465,M0,3.619396279649425,1,0.05710959379768776
M2,x_int,0.5846012422312339,3447.519800116423,3536.63389655134,-1708.7599000582115,M0,109.99261331015563,1,0.0
M3,m_sent,0.568160575975474,3556.5896536800597,3645.7037501149766,-1763.2948268400298,M0,0.9227597465194723,1,0.3367513948006611
M4,P_pos,0.5688901271103093,3551.8384146799813,3640.9525111148982,-1760.9192073399906,M0,5.673998746598074,1,0.017218163828259025
M5,P_neg,0.5697131489834207,3546.468781610804,3635.582878045721,-1758.234390805402,M0,11.043631815775369,1,0.0008899235439028264
M6,P_pos+P_neg,0.5713611688607974,3537.6856798025005,3632.740715999745,-1752.8428399012503,M0,21.826733624078354,2,1.82131479103953e-05
M7,a_sent,0.5716912658744173,3533.5208503736126,3622.6349468085295,-1751.7604251868063,M0,23.991563052967155,1,9.675876921910742e-07
M8,d_sent,0.5699099836975778,3545.183053048262,3634.297149483179,-1757.591526524131,M0,12.329360378317187,1,0.00044588916457677374
M9,G,0.5680563017710768,3557.268089060957,3646.382185495874,-1763.6340445304786,M0,0.24432436562210097,1,0.6211001282074988
M10,a_sent+d_sent+G,0.5721789744215954,3534.319323618389,3635.3152995779615,-1750.1596618091944,M0,27.19308980819065,3,5.363342190145559e-06
M11,c_s,0.5871990400424907,3429.891598527104,3519.005694962021,-1699.945799263552,M0,127.62081489947471,1,0.0
M12,x_int+m_sent,0.5847749154136586,3448.344727538826,3543.399763736071,-1708.172363769413,M2,1.175072577597499,1,0.2783614085343815
M13,x_int+P_pos+P_neg,0.5847908351176757,3450.2369902475893,3551.232966207162,-1708.1184951237947,M2,1.2828098688337417,2,0.5265521329207614
M14,x_int+a_sent+d_sent+G,0.5868012148396975,3438.598352162063,3545.535267883963,-1701.2991760810314,M2,14.921447954360612,3,0.0018850224952258188
M15,x_int+c_s,0.5879316991412973,3426.8998435742947,3521.9548797715393,-1697.4499217871473,M2,22.61995654212924,1,1.974232509804885e-06
