model,news,R2,AIC,BIC,loglik,LR_vs,LR_stat,LR_df,LR_p
M0,(HAR only),0.4817096691309064,4497.87003610595,4581.043192778539,-2234.935018052975,,,0,
M1,x_int_full,0.4843614443887647,4485.456076092557,4574.570172527474,-2227.7280380462785,M0,14.413960013393227,1,0.00014671068279892285
M2,x_int,0.4976493167778623,4412.093724436189,4501.207820871106,-2191.0468622180947,M0,87.77631166976029,1,0.0
M3,m_sent,0.48171478576235305,4499.842295273296,4588.956391708213,-2234.921147636648,M0,0.027740832654391947,1,0.8677195786757395
M4,P_pos,0.48269462676117336,4494.52483862274,4583.638935057657,-2232.26241931137,M0,5.34519748320919,1,0.02077942954460066
M5,P_neg,0.4825439404691463,4495.343246557516,4584.457342992433,-2232.671623278758,M0,4.52678954843394,1,0.033368160290956905
M6,P_pos+P_neg,0.4840939292862527,4488.9135359750035,4583.968572172248,-2228.4567679875017,M0,12.956500130947095,2,0.0015364970974316439
M7,a_sent,0.4846030896915121,4484.138908379907,4573.253004814824,-2227.0694541899534,M0,15.731127726042992,1,7.301271845272517e-05
M8,d_sent,0.4841146902590061,4486.80045432972,4575.914550764637,-2228.40022716486,M0,13.069581776229409,1,0.0003001301401296397
M9,G,0.4817233406290934,4499.795912754021,4588.910009188938,-2234.8979563770104,M0,0.0741233519291416,1,0.7854251540148185
M10,a_sent+d_sent+G,0.48567566049327027,4482.285042504119,4583.281018463691,-2224.1425212520594,M0,21.584993601831876,3,7.957423993198987e-05
M11,c_s,0.49885567235778117,4405.337615485268,4494.451711920185,-2187.668807742634,M0,94.5324206206821,1,0.0
M12,x_int+m_sent,0.4976626745202043,4414.019004213278,4509.074040410523,-2191.009502106639,M2,0.07472022291129284,1,0.7845841832175806
M13,x_int+P_pos+P_neg,0.49780530825396874,4415.221019106385,4516.216995065957,-2190.6105095531925,M2,0.8727053298040843,2,0.6463897267644796
M14,x_int+a_sent+d_sent+G,0.4996793100313366,4406.7155421351,4513.652457857,-2185.35777106755,M2,11.378182301089868,3,0.009847188503795845
M15,x_int+c_s,0.49995678581728253,4401.156695448873,4496.211731646117,-2184.5783477244363,M2,12.93702898731752,1,0.0003221458800323207
