model,news,R2,AIC,BIC,loglik,LR_vs,LR_stat,LR_df,LR_p
M3d,m_sent_f,0.5681115773375736,3556.908472097634,3646.022568532551,-1763.454236048817,M0,0.6039413289455353,1,0.4370781696087457
M4d,P_pos_f,0.5682162235819884,3556.227528682858,3645.341625117775,-1763.113764341429,M0,1.2848847437216575,1,0.25699277162270273
M5d,P_neg_f,0.5686844569438136,3553.178665484569,3642.292761919486,-1761.5893327422846,M0,4.333747942010324,1,0.037363886889885345
M6d,P_pos_f+P_neg_f,0.5692192938393266,3551.6920666956976,3646.747102892942,-1759.8460333478488,M0,7.820346730881086,2,0.020037027032535737
M7d,a_sent_f,0.5697490117120274,3546.2345693243933,3635.3486657593103,-1758.1172846621967,M0,11.27784410218613,1,0.0007843759348356016
M8d,d_sent_f,0.5681024443747426,3556.9678933575324,3646.0819897924493,-1763.4839466787662,M0,0.5445200690468325,1,0.4605654765624744
M9d,G_f,0.5681762603366342,3556.4875929306427,3645.6016893655597,-1763.2437964653213,M0,1.024820495936725,1,0.311378296549084
M10d,a_sent_f+d_sent_f+G_f,0.569974830830805,3548.7593413226905,3649.755317282263,-1757.3796706613452,M0,12.753072103889691,3,0.005202202014732982
M11d,c_s_f,0.5689569094096119,3551.403089930512,3640.517186365429,-1760.701544965256,M0,6.109323496066708,1,0.013447058944864976
M12d,x_int_full+m_sent_f,0.5686855749341231,3555.1713818220824,3650.226418019327,-1761.5856909110412,M1,0.7216353248477139,1,0.39560801632942766
M13d,x_int_full+P_pos_f+P_neg_f,0.5694026350020238,3552.495870293191,3653.4918462527635,-1759.2479351465954,M1,5.397146853739104,2,0.06730145473630844
M14d,x_int_full+a_sent_f+d_sent_f+G_f,0.5703446745045333,3548.3415575210506,3655.278473242951,-1756.1707787605253,M1,11.551459625878861,3,0.009088799035091077
M15d,x_int_full+c_s_f,0.568961391632834,3553.373869852487,3648.4289060497317,-1760.6869349262436,M1,2.5191472944429236,1,0.1124713879583722
