model,news,R2,AIC,BIC,loglik,LR_vs,LR_stat,LR_df,LR_p
M3d,m_sent_f,0.48216328906811,4497.409580865315,4586.523677300232,-2233.7047904326573,M0,2.4604552406354943,1,0.11674494198974872
M4d,P_pos_f,0.4817372274878038,4499.720619770893,4588.83471620581,-2234.8603098854464,M0,0.14941633505772095,1,0.6990937544847927
M5d,P_neg_f,0.48298697238725985,4492.9363698678535,4582.0504663027705,-2231.4681849339268,M0,6.933666238096488,1,0.008458811735093552
M6d,P_pos_f+P_neg_f,0.4832745493879841,4493.372934995487,4588.427971192732,-2230.6864674977437,M0,8.497101110462502,2,0.014284924119255082
M7d,a_sent_f,0.48368703504369903,4489.128904692857,4578.243001127774,-2229.5644523464284,M0,10.741131413093493,1,0.001047802528893249
M8d,d_sent_f,0.4821420726367772,4497.524707795298,4586.638804230215,-2233.762353897649,M0,2.3453283106528566,1,0.12565908499630973
M9d,G_f,0.4818874209660753,4498.9061587239985,4588.0202551589155,-2234.4530793619992,M0,0.9638773819513504,1,0.32621190375335163
M10d,a_sent_f+d_sent_f+G_f,0.48396368988727456,4491.622825020345,4592.618800979917,-2228.8114125101724,M0,12.247211085605453,3,0.0065825609107921235
M11d,c_s_f,0.48448293684810806,4484.793918400503,4573.90801483542,-2227.3969592002513,M0,15.076117705447865,1,0.00010326148997719109
M12d,x_int_full+m_sent_f,0.48488888681591713,4484.58027919535,4579.635315392595,-2226.290139597675,M1,2.8757968972074446,1,0.08992045264142179
M13d,x_int_full+P_pos_f+P_neg_f,0.485158082595892,4485.111396369651,4586.107372329223,-2225.5556981848254,M1,4.34467972290685,2,0.11391076942100864
M14d,x_int_full+a_sent_f+d_sent_f+G_f,0.48604005697354846,4482.293464552694,4589.230380274594,-2223.146732276347,M1,9.162611539862692,3,0.027205210225229925
M15d,x_int_full+c_s_f,0.4847008394408774,4485.605915571836,4580.66095176908,-2226.802957785918,M1,1.850160520720983,1,0.1737647260045616
